City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,adilpur,27.937,69.3187,19.56,39,100,3.1,PK,2023-11-13
203,pisco,-13.7,-76.2167,20.01,82,0,6.17,PE,2023-11-13
204,greymouth,-42.4667,171.2,13.44,96,100,4.0,NZ,2023-11-13
205,west island,-12.1568,96.8225,27.99,74,40,5.66,CC,2023-11-13
206,vila franca do campo,37.7167,-25.4333,17.23,99,78,2.13,PT,2023-11-13
207,klyuchi,52.2667,79.1667,2.74,94,96,3.62,RU,2023-11-13
208,howard springs,-12.497,131.047,33.26,58,30,2.14,AU,2023-11-13
209,kapa'a,22.0752,-159.319,28.99,79,75,7.72,US,2023-11-13
210,boguchany,58.3814,97.4531,1.03,97,100,4.47,RU,2023-11-13
211,carrigaline,51.8117,-8.3986,10.86,87,75,7.2,IE,2023-11-13
212,merizo village,13.2658,144.6691,31.31,82,15,8.62,GU,2023-11-13
213,gadzhiyevo,69.2551,33.3362,-8.99,97,91,1.16,RU,2023-11-13
214,thinadhoo,0.5333,72.9333,27.43,77,100,3.2,MV,2023-11-13
215,namibe,-15.1961,12.1522,23.17,62,100,1.49,AO,2023-11-13
216,carnarvon,-24.8667,113.6333,21.77,67,100,3.09,AU,2023-11-13
217,westport,41.1415,-73.3579,6.68,75,33,0.45,US,2023-11-13
218,canico,32.6333,-16.85,21.35,83,75,2.57,PT,2023-11-13
219,tolanaro,-25.0319,46.9987,22.04,88,40,2.06,MG,2023-11-13
220,nizhniy odes,63.6445,54.856,-1.94,96,100,4.87,RU,2023-11-13
221,hobyo,5.3505,48.5268,26.44,83,29,2.27,SO,2023-11-13
222,santana,-0.0583,-51.1817,29.1,79,20,4.12,BR,2023-11-13
223,lae,-6.7221,146.9847,30.37,69,100,2.13,PG,2023-11-13
224,quarteira,37.0695,-8.1006,18.86,84,0,0.51,PT,2023-11-13
225,i-n-salah,27.1935,2.4607,19.65,32,0,5.11,DZ,2023-11-13
226,newman,37.3138,-121.0208,20.19,61,72,3.4,US,2023-11-13
227,cottonwood,34.7392,-112.0099,19.31,41,92,1.56,US,2023-11-13
228,polyarnyy,69.1989,33.4478,-9.02,96,91,1.01,RU,2023-11-13
229,mezhdurechenskiy,59.6,65.9333,0.81,97,100,4.97,RU,2023-11-13
230,pirane,-25.7324,-59.1088,21.8,98,100,2.42,AR,2023-11-13
231,aioun,16.6614,-9.6149,25.64,13,0,4.78,MR,2023-11-13
232,aleg,17.0481,-13.9209,28.78,9,34,5.27,MR,2023-11-13
233,cooper's town,26.8667,-77.5167,25.14,82,100,6.67,BS,2023-11-13
234,saint-joseph,-21.3667,55.6167,22.48,79,50,2.66,RE,2023-11-13
235,nova sintra,14.8667,-24.7167,23.78,72,100,5.64,CV,2023-11-13
236,mount gambier,-37.8333,140.7667,15.38,60,100,2.23,AU,2023-11-13
237,valdivia,-39.8142,-73.2459,10.05,97,9,1.04,CL,2023-11-13
238,ola,59.5833,151.2833,-13.54,73,74,5.57,RU,2023-11-13
239,portland,45.5234,-122.6762,10.75,88,100,1.34,US,2023-11-13
240,itoman,26.1247,127.6694,23.43,54,75,4.63,JP,2023-11-13
241,sakata,38.9167,139.855,11.1,62,40,7.72,JP,2023-11-13
242,pangody,65.85,74.4859,-16.89,100,100,3.71,RU,2023-11-13
243,sloviansk,48.8667,37.6167,5.72,73,100,1.1,UA,2023-11-13
244,holualoa,19.6228,-155.9522,26.39,74,40,4.63,US,2023-11-13
245,castillos,-34.1667,-53.8333,15.21,91,100,3.25,UY,2023-11-13
246,uliastay,47.7417,96.8444,-8.51,95,100,1.05,MN,2023-11-13
247,happy valley-goose bay,53.3168,-60.3315,-3.83,68,75,5.14,CA,2023-11-13
248,kurumkan,54.3,110.3,-9.37,92,100,1.79,RU,2023-11-13
249,bac lieu,9.285,105.7244,28.14,80,100,7.36,VN,2023-11-13
250,al bawiti,28.3492,28.8659,18.89,56,0,2.44,EG,2023-11-13
251,fort bragg,35.139,-79.006,9.33,84,0,1.54,US,2023-11-13
252,juegang,32.3174,121.1855,10.39,57,5,3.17,CN,2023-11-13
253,brisas de zicatela,15.8369,-97.0419,29.29,54,40,1.54,MX,2023-11-13
254,baker city,44.7749,-117.8344,7.84,73,0,4.12,US,2023-11-13
255,sabang,5.8933,95.3214,26.65,84,100,5.12,ID,2023-11-13
256,tura,25.5198,90.2201,21.86,73,10,0.96,IN,2023-11-13
257,uturoa,-16.7333,-151.4333,27.18,82,49,7.41,PF,2023-11-13
258,williams lake,52.1415,-122.1445,3.76,65,75,0.0,CA,2023-11-13
259,sisimiut,66.9395,-53.6735,-9.26,75,100,3.79,GL,2023-11-13
260,nema,57.5067,50.5011,3.99,92,100,4.99,RU,2023-11-13
261,zimnicea,43.6667,25.3667,8.65,67,52,1.72,RO,2023-11-13
262,qui nhon,13.7667,109.2333,26.53,87,94,6.4,VN,2023-11-13
263,los llanos de aridane,28.6585,-17.9182,23.96,34,0,4.02,ES,2023-11-13
264,worland,44.0169,-107.9554,11.49,23,0,6.17,US,2023-11-13
265,guerrero negro,27.9769,-114.0611,20.44,57,100,4.66,MX,2023-11-13
266,la ronge,55.1001,-105.2842,2.14,64,100,5.66,CA,2023-11-13
267,burlington,39.8835,-74.6413,7.61,77,0,0.0,US,2023-11-13
268,kodiak,57.79,-152.4072,5.73,49,20,8.23,US,2023-11-13
269,fortuna foothills,32.6578,-114.4119,25.05,28,0,1.54,US,2023-11-13
270,cabrican,15.1333,-91.6167,15.85,97,87,1.34,GT,2023-11-13
271,tosno,59.54,30.8775,1.58,96,100,2.76,RU,2023-11-13
272,chibougamau,49.9168,-74.3659,-4.21,86,100,3.6,CA,2023-11-13
273,bogande,12.9714,-0.1436,24.29,15,14,3.51,BF,2023-11-13
274,tsiombe,-25.3,45.4833,21.4,85,90,3.17,MG,2023-11-13
275,tshela,-4.9833,12.9333,23.08,100,99,0.52,CD,2023-11-13
276,maragogi,-9.0122,-35.2225,25.03,85,97,2.88,BR,2023-11-13
277,callao,-12.0667,-77.15,20.95,77,75,5.14,PE,2023-11-13
278,mawlaik,23.6333,94.4167,23.25,63,40,1.05,MM,2023-11-13
279,new norfolk,-42.7826,147.0587,17.62,34,7,3.34,AU,2023-11-13
280,mogocha,53.7333,119.7667,-7.38,55,0,1.03,RU,2023-11-13
281,cole harbour,44.6724,-63.4751,0.55,86,8,0.45,CA,2023-11-13
282,dong ha,16.8163,107.1003,24.78,88,96,5.7,VN,2023-11-13
283,barretos,-20.5572,-48.5678,29.75,28,68,1.29,BR,2023-11-13
284,saint john's,47.5649,-52.7093,-0.12,82,100,4.12,CA,2023-11-13
285,ad dawadimi,24.5077,44.3924,18.64,44,100,4.75,SA,2023-11-13
286,abra pampa,-22.7205,-65.697,13.88,17,0,7.16,AR,2023-11-13
287,cidreira,-30.1811,-50.2056,20.15,97,100,1.86,BR,2023-11-13
288,pechora,65.1472,57.2244,-2.86,79,100,5.81,RU,2023-11-13
289,santiago de cao,-7.9589,-79.2392,19.07,88,78,5.66,PE,2023-11-13
290,hirara,24.8,125.2833,23.92,56,40,6.17,JP,2023-11-13
291,pariaman,-0.619,100.12,28.03,83,79,1.82,ID,2023-11-13
292,guiuan,11.0333,125.7247,28.33,79,58,4.58,PH,2023-11-13
293,mpulungu,-8.7623,31.1141,22.5,82,84,0.52,ZM,2023-11-13
294,wainwright,52.839,-110.8572,2.0,57,100,4.7,CA,2023-11-13
295,khorixas,-20.3667,14.9667,25.89,32,76,2.2,NA,2023-11-13
296,saudarkrokur,65.7461,-19.6394,-1.57,83,10,4.18,IS,2023-11-13
297,necochea,-38.5473,-58.7368,14.46,49,86,6.34,AR,2023-11-13
298,grootfontein,-19.5667,18.1167,23.55,39,43,5.07,NA,2023-11-13
299,midland,31.9974,-102.0779,12.37,92,100,3.09,US,2023-11-13
